[[[ 948.10236  477.23245]
  [ 930.54565  509.66843]
  [ 895.1897   506.78336]
  [ 868.7962   562.6445 ]
  [ 907.1679   595.0952 ]
  [ 974.5639   509.81558]
  [ 983.5232   571.46405]
  [ 977.7267   615.6552 ]
  [ 927.64935  624.416  ]
  [ 904.0367   624.40845]
  [ 904.1407   715.73596]
  [ 903.9856   792.2826 ]
  [ 951.24524  624.4788 ]
  [ 951.16644  715.6506 ]
  [ 948.2086   789.4162 ]
  [ 933.5663   462.6968 ]
  [ 951.2013   465.54752]
  [ 921.7644   471.3861 ]
  [ 957.0084   477.20947]
  [ 948.1659   812.89594]
  [ 957.0856   810.0119 ]
  [ 936.52106  804.052  ]
  [ 907.0688   812.9899 ]
  [ 892.34845  812.9479 ]
  [ 904.1557   806.8798 ]]

 [[1063.02     486.15375]
  [1051.1855   530.4525 ]
  [1021.8124   530.343  ]
  [1001.2286   580.26746]
  [1024.8939   592.02155]
  [1110.0991   530.23016]
  [1104.1997   594.96826]
  [1095.3478   656.7956 ]
  [1048.3807   636.27344]
  [1027.773    636.2655 ]
  [1024.8466   718.55975]
  [1024.7936   792.33234]
  [1071.9064   639.15247]
  [1074.7858   715.71063]
  [1092.3961   792.32983]
  [1048.3053   483.2706 ]
  [1080.6832   480.33856]
  [1042.297    489.12503]
  [1112.9243   483.15042]
  [   0.         0.     ]
  [   0.         0.     ]
  [1092.429    801.0412 ]
  [1004.1501   812.77386]
  [1001.11664  809.7756 ]
  [1036.4685   806.9697 ]]]
