[[[ 986.471    244.7151 ]
  [1039.4512   341.88654]
  [ 957.1046   359.48322]
  [ 927.747    486.11774]
  [ 954.0537   553.9266 ]
  [1115.9088   327.15808]
  [1145.3947   465.57004]
  [1027.7825   571.44244]
  [1036.4712   621.5598 ]
  [ 977.7947   621.4786 ]
  [1018.7616   836.31305]
  [1039.3955  1024.7294 ]
  [1092.3394   621.4596 ]
  [1101.2693   833.46466]
  [1139.5155  1039.4089 ]
  [ 977.8399   227.09996]
  [1007.1466   224.3174 ]
  [   0.         0.     ]
  [1057.1501   244.92242]
  [1101.2606  1051.3708 ]
  [1124.8441  1074.8135 ]
  [1151.272   1048.308  ]
  [1021.8184  1054.2411 ]
  [1001.23004 1048.4705 ]
  [1051.3112  1042.3806 ]]

 [[ 721.7147   330.14282]
  [ 786.3764   415.5755 ]
  [ 718.77423  430.2446 ]
  [ 712.6581   539.1026 ]
  [ 689.1516   642.0614 ]
  [ 851.0496   409.64157]
  [ 907.0643   503.71768]
  [ 883.5881   612.6416 ]
  [ 777.52423  648.12286]
  [ 736.26     648.1257 ]
  [ 742.28973  812.93896]
  [ 765.8056   959.99554]
  [ 821.6432   648.1001 ]
  [ 833.3928   809.9698 ]
  [ 856.93445  974.69293]
  [ 721.6459   318.32626]
  [ 742.06964  315.4947 ]
  [   0.         0.     ]
  [ 786.4577   321.40512]
  [ 827.52374 1024.6674 ]
  [ 853.9806  1021.784  ]
  [ 859.9341   986.4702 ]
  [ 712.8111  1007.0515 ]
  [ 712.6918   998.2286 ]
  [ 786.34937  974.77954]]

 [[ 574.346    362.45712]
  [ 583.2325   453.71783]
  [ 521.4088   436.0719 ]
  [ 439.05475  406.56833]
  [ 368.35245  344.83926]
  [ 648.1257   462.5744 ]
  [ 668.5256   574.2994 ]
  [ 627.4138   645.17175]
  [ 553.7053   668.5572 ]
  [ 506.77173  665.5921 ]
  [ 509.6817   812.92957]
  [ 524.4588   945.2762 ]
  [ 597.9807   671.4833 ]
  [ 601.03143  815.8917 ]
  [ 618.636    954.00793]
  [ 565.6142   347.83636]
  [ 594.9899   350.75522]
  [   0.         0.     ]
  [ 624.4318   380.16742]
  [ 621.46216  992.3629 ]
  [ 639.23285  980.6632 ]
  [ 609.80133  962.9734 ]
  [ 462.58783  986.4954 ]
  [ 462.66095  974.7957 ]
  [ 536.1442   957.0101 ]]]
