[[[1018.85547  315.543  ]
  [ 977.71124  391.93216]
  [ 907.1271   386.189  ]
  [ 859.92926  500.74667]
  [ 957.03613  515.5944 ]
  [1048.3175   400.73782]
  [1074.8568   506.69   ]
  [1071.9917   598.0074 ]
  [ 977.8206   621.49097]
  [ 930.66833  621.45184]
  [ 927.54694  789.2782 ]
  [ 915.85504  951.2825 ]
  [1024.8635   621.53894]
  [1024.7317   789.2453 ]
  [1018.8621   945.30286]
  [1001.0943   297.85794]
  [1024.842    306.5711 ]
  [ 962.9442   315.2799 ]
  [1042.283    318.23688]
  [1018.8423   977.65594]
  [1036.4978   977.5597 ]
  [1001.3235   954.2563 ]
  [ 927.50446  998.1169 ]
  [ 904.08527  992.3272 ]
  [ 918.7784   965.9356 ]]

 [[1271.9886   339.01788]
  [1266.1024   433.05814]
  [1204.333    433.0184 ]
  [1177.7605   530.31665]
  [1216.0497   609.80316]
  [1330.9739   433.04367]
  [1351.4818   547.93414]
  [1301.408    624.38965]
  [1257.28     645.0042 ]
  [1213.0428   642.15186]
  [1183.5858   803.98785]
  [1189.5604   951.1305 ]
  [1301.4518   645.1419 ]
  [1286.7336   812.8452 ]
  [1274.8502   954.1696 ]
  [1257.1433   330.10938]
  [1283.7379   330.09976]
  [1230.8195   350.77103]
  [1304.2158   350.76065]
  [1266.0883  1004.12964]
  [1286.7666  1001.2099 ]
  [1260.111    968.8123 ]
  [1168.9584   995.36084]
  [1160.0895   980.6744 ]
  [1204.3319   959.99396]]]
