[[[1257.378    344.9557 ]
  [1257.2495   436.0883 ]
  [1186.7216   436.0863 ]
  [1163.0786   536.24414]
  [1207.2587   615.6237 ]
  [1327.7974   433.27313]
  [1339.6755   542.0098 ]
  [1286.7249   621.62036]
  [1245.4943   648.0638 ]
  [1204.3109   647.9708 ]
  [1183.7358   815.73315]
  [1174.8575   957.07666]
  [1289.6453   650.9214 ]
  [1283.7535   812.9325 ]
  [1271.9363   971.69305]
  [1239.6691   338.91348]
  [1271.9695   338.94   ]
  [1213.2773   359.47003]
  [1286.7449   350.7967 ]
  [1266.1309  1021.78424]
  [1286.7207  1018.79285]
  [1257.3802   977.5923 ]
  [1133.6876   998.2536 ]
  [1124.8278   986.4343 ]
  [1189.4939   974.79626]]

 [[1021.78766  318.496  ]
  [ 977.8066   394.9293 ]
  [ 907.1063   389.04108]
  [ 857.0977   503.67593]
  [ 954.2222   524.38367]
  [1051.1893   406.66003]
  [1077.7457   512.6299 ]
  [1074.7393   601.01044]
  [ 977.785    624.5609 ]
  [ 930.5381   624.4773 ]
  [ 924.6768   798.1337 ]
  [ 907.128    962.9623 ]
  [1024.8884   627.4022 ]
  [1021.6739   801.08875]
  [1001.2916   954.2523 ]
  [1001.27673  306.56876]
  [1027.7992   312.48874]
  [ 965.91565  315.3938 ]
  [   0.         0.     ]
  [1001.1138   998.31415]
  [1021.88495  998.16003]
  [ 995.29114  974.6445 ]
  [ 915.8634  1007.15247]
  [ 898.11993 1001.35297]
  [ 910.02673  977.65344]]]
