[[[ 565.56866  392.07092]
  [ 594.9512   453.73618]
  [ 550.7208   453.71097]
  [ 530.4227   530.2201 ]
  [ 527.2066   600.9444 ]
  [ 639.1506   453.66293]
  [ 668.74506  530.2509 ]
  [ 636.18665  603.86176]
  [ 577.45935  621.6008 ]
  [ 550.91595  621.61053]
  [ 559.755    745.1919 ]
  [ 574.3084   860.04395]
  [ 609.7051   621.6176 ]
  [ 621.45605  745.1547 ]
  [ 621.5846   862.8266 ]
  [ 556.80334  386.13492]
  [ 577.2874   386.19824]
  [   0.         0.     ]
  [ 603.8503   392.0319 ]
  [ 592.104    889.41284]
  [ 612.65295  892.2956 ]
  [ 624.5741   880.4493 ]
  [ 544.9331   892.28265]
  [ 533.1974   883.4356 ]
  [ 577.55194  880.4041 ]]

 [[ 315.4727   394.87958]
  [ 247.81041  459.72485]
  [ 312.452    459.6215 ]
  [ 333.02188  574.49274]
  [ 353.6444   648.02563]
  [ 194.64508  462.58316]
  [ 197.67274  574.3886 ]
  [   0.         0.     ]
  [ 250.6461   674.47046]
  [ 288.99185  674.4952 ]
  [ 291.82516  833.4097 ]
  [ 274.32214  992.3355 ]
  [ 215.39284  671.66095]
  [ 300.71463  827.56445]
  [ 294.91583  977.7401 ]
  [ 315.4739   383.11072]
  [   0.         0.     ]
  [ 294.9415   385.8847 ]
  [ 244.77736  388.91754]
  [ 371.314    995.31494]
  [ 365.3949   983.5255 ]
  [ 271.36475 1001.2574 ]
  [ 359.4814  1001.12665]
  [ 341.88303 1007.076  ]
  [ 265.39172 1010.0915 ]]]
